cpus=4
 inference_drive-203126 [002] 22650.245251: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245259: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245264: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245273: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245279: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245288: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245294: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245303: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245308: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245315: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245320: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245327: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245332: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.245340: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.245345: sys_exit_ioctl:       0x0
